,business_id,highlights,delivery or takeout,Grubhub enabled,Call To Action enabled,Request a Quote Enabled,Covid Banner,Temporary Closed Until,Virtual Services Offered
435,lFxhaA5tyFxKGtLp7yEjNA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
696,y5QXXEB5DQHZV2vDgEx3gA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7932,_ESIk0hZa3MdyxEsOlKv5Q,"[{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
9283,0cpLF0LFQHHRFNlL0iy_Aw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9910,N1mOvbqAiSGKM1_YoSRO9g,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
10298,orEnnKcIAfMz25uOf5Psjg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10803,N-U0o7hIKy3Z6KY_O4RuPg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16828,IVAI4jFwRANbNCST-yhAHQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17160,sgvhMnFffkQ6WBSAdtd7Bg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19182,HAnPo3pHgCnw8pNxJZtH-g,"[{""identifier"":""gift_cards_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""curbside_pickup_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19208,Vu2C9npNSaHLYM7lvkKJJQ,"[{""identifier"":""gift_cards_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""curbside_pickup_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19426,8kToK23uEo5su6VftV8ZOg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23653,mSY675sCniAMhSuc7225HA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
