,review_id,user_id,business_id,stars,useful,funny,cool,text,date
454554,0muFMLCahUF4OEtvOduGig,2U2tqOCphgOQ-NX8b3P6nw,28adZ4lsuUeVB2aWzohK9g,1.0,0,0,0,"As a 30 year old woman who travels all the time between Canada and the USA, I don't think I have been to a place with more disrespectful staff. Drinks mediocre at best. Save your money. If you have any class go to Broadview hotel...Better drinks ... better food...better staff...",2019-06-02 21:48:16
454575,u_F_LNVDjKaVlbTCYYmEEw,Hugi7nJqRdx4mW6CCVs-Dw,c9eUmcKIfgDaF-WUv4ILVw,3.0,0,0,0,"I had to drop a star. This has been a local spot for my work colleagues and after work pub night stop.  The last few times the service was lacking on the main floor in the back, but today really left me wondering. Not only was the service extra slow, much of the staff seem to have lost their friendliness and have built up an unfriendly wall.  Lacking in smiles and simple sever courtesies.  This has been the general consensus of our group of regulars.  That said, the upstairs staff and vibe is def what makes us want to come back to drink and play games.",2019-06-13 03:12:22
465287,4dSO9kg-kGJa7cislx4KlA,deB6EXuanGiN1tkSASuh3A,28adZ4lsuUeVB2aWzohK9g,5.0,0,0,0,"It's still my birthday for a few more hours so my best friend and I decided to visit a second Prohibition Gastrohouse location; the other one which I like is on Eglinton Ave East near Yonge St.

This location was not the easiest for me to get to but I made the effort to check it out.  A cover charge and dress code is in effect on Friday & Saturday party nights.

Several large TV screens were showing an NFL game, the Raptors game and the Leafs game.

Ultra premium bar rail is $7.30 all day every day and only $5.75 during Hooch Hour from 5-7pm and 10-11pm nightly.  If tap is your fancy, choose from several draughts and ciders on tap.  Others may prefer a 6 oz Hooch Hour wine for $5.75 or bottled wines which they mark up $30 from LCBO prices.

Party shots of Jagermeister and JD Tennessee Honey are $2.88 all day every day.

Off the dinner menu, I chose an Inside-Out Pulled Pork Grilled Cheese Handheld with Duck Fat Frites for $16.95.  My friend is having the Fish and Avocado Tacos for $15.95.  Very nice..and delicious.

Overall, it's a different crowd here and I really liked it.  The place started to get packed about 9:45 p.m. just as the DJ arrived to set up.  A dance floor is located at the back to strut your stuff to the great music.

Bar staff were friendly (especially Amanda) and service was excellent!",2019-01-06 03:28:23
473519,Akys6uJhujz2WW7XwESQWA,MlJAY7dKRZ2O-H2DdAk-kQ,c9eUmcKIfgDaF-WUv4ILVw,4.0,0,0,0,Giving it 4 stars for the BBQ Sauce and service was ok. Food was ok. Great place to watch any games and they have decent daily deals,2019-01-15 07:10:44
493632,14AS7Fh-BSHQtV7-MdRYZg,Bds9xnULpCFiAFxIOqfvcw,tOL8YMFVyPiXkSYv06AZsQ,3.0,0,0,0,"Food was Ok 
Service was Ok

Ordered the wings from them and it was ok, no the worst or the best. the price was really good comparing to other sports bars.",2019-03-05 14:13:21
505230,pgN9tsTfQukJXFS_nDOoYQ,UHkDeBOmSKQCBIi9t8YzJw,28adZ4lsuUeVB2aWzohK9g,4.0,0,1,0,My friends and I go to Prohibition quite often for their weekend brunch. Always a good time and good food. Servers have always been excellent and attentive.  Dinner is great as well for a nicer version of pub food.,2019-01-15 20:39:48
519135,ePliUxliAmyWecqKDt_vWg,gxXlHqih5KDqjcalHeiItg,c9eUmcKIfgDaF-WUv4ILVw,4.0,0,0,0,"Pretty cool spot near the Convention Centre. We came on a quiet snowy night during their wing Wednesday's. I can imagine this place getting heaps of thirsty customers in the summertime since it's so close to the arena (after the Jays lose..). No fear, they have ample seating up and downstairs. 
If drinking and eating aren't your thing (lol?), they have a whole row of pinball machines, air hockey and basketball arcade games to tickle your inner competitive self. 
For $5 a pound on Wednesday's, their wings were actually not half bad. They offer 40 flavours with ambiguous names, so that's pretty awesome. I'll definitely be back again.",2019-01-04 18:57:02
519260,v6If4ZYk2RSrgPe-s93uCA,YZBV26-9ZYYcII44Mq86cw,c9eUmcKIfgDaF-WUv4ILVw,4.0,0,0,0,The food like the chicken & waffles and drinks are really good but the service can be quite slow and we had to keep asking for things like straws and a spoon for coffee.,2019-04-07 18:07:37
538703,oaYZtrI6AJHe8N1B0O6rVA,WlS0Nd9nrLVYIYvz0e3hnA,c9eUmcKIfgDaF-WUv4ILVw,4.0,0,0,0,It was hot and noisy but totally a perfect place for a reception near the convention center. Had a great time connecting with colleagues and talking with friends. We didn't play any of the games. We were only there to network for the conference. Staff seemed really nice. We didn't eat any food but they did have an open bar for the even. People seemed to enjoy the overall beer and wine selections. Pretty great way to end the afternoon of the first day of convention.,2019-04-05 22:44:28
541733,lYd52qf9Z2t_4h_hgD66aA,jpwc87McTVFCb3r6hI9igQ,ZpPOiNYi4AHNneI7uco7GQ,4.0,0,1,0,Good nite at Mcsorleys. Easy. Good food & Service. Consistent as always. Local we can trust.,2019-02-01 01:31:24
542952,jqPI5Wa5Chv-GSHg5a-ilw,VxvdFtN3Nt-p2l2wtoFFAg,28adZ4lsuUeVB2aWzohK9g,4.0,0,0,0,"The steak is incredible and the atmosphere is nice too. My only issue I've had here is trying to order from their keto menu, after three separate attempts I have yet to try the cauliflower crust flatbread and I was told by a server to avoid the chicken skin chips because ""they're not very good"". Soooo, go for the steak!!!",2019-07-10 03:44:16
545892,ZfxqkfvziVef1NC-BdMO_Q,fkdrvWbTnW3NSaAQDQ7m9w,c9eUmcKIfgDaF-WUv4ILVw,4.0,0,0,0,"Food: 4 Stars
Service: 3 Stars
Ambience: 4 Stars
Fill Factor: Satisfied

I have been here several times (mostly for wings night on Wednesdays) and have to say my experience here has mostly been positive.

As I mentioned, I have been here a few times for wings and they offer forty different flavours and each order comes with veggie sticks and a dipping sauce. I must say I did enjoy the flavours of the wings with some of my favourites being Maple BBQ, Peri Peri and Momofuku (might be an acquired taste). I have also had their tacos which I did not enjoy as much (if you have to choose one though go with the fish) as well I tried the crispy chicken sandwich. The sandwich was good as the chicken was fairly crispy and there was a nice sweet taste to it. It got a bit messy as they put a lot of coleslaw in it.

Service is decent here considering how packed it gets on wings nights. The food takes a bit of time to get here but it could be a lot worse. There is a ton of seating as there are two floors in this place. The walls are crammed full of sports memorabilia and lots of TVs to watch the game on.

Overall, this is a pretty cool place to hang out with friends. The place is usually lively and the food is not bad here. A pretty good choice if you are looking for a sports bar in the area.",2019-01-11 03:13:48
550657,922gTHrAaGj7TgeSOIpsRw,4CCWdV_qEwhHDglxrXpaAw,EqNtK4J5CHYQee-qX-WxRQ,5.0,0,0,0,The best steak sandwich I have had in years! They are fast and the prices are reasonable. Tons of parking and a very clean restaurant.,2019-05-02 19:44:57
554113,HvfVomd8BLL-_B0NVY7aJQ,3VPOG9mUg1DQolX8d3eIJg,28adZ4lsuUeVB2aWzohK9g,5.0,0,0,0,"Went there for brunch on a Saturday. Pleasantly surprised as I never would have thought brunch at a pub would be so delicious! Only downside was alcohol couldn't be served till 11am. 

Got the breakfast poutine and it was made with tater tots. Friends got the duck confit Benedict and basic breakfast.

Great for those on a Keto, vegan and gluten free diet as they have lots of substitutions.",2019-03-24 23:37:59
577335,cYU0Nj9-oJVy0lBgBZ2DnQ,PHsY_AS7Sn6Fhta9_y2tDw,c9eUmcKIfgDaF-WUv4ILVw,4.0,0,0,0,"Not a fan of the pinball arcade setup on the 2nd floor. The novelty completely wears off if people can't afford to pay a loony per game. 

Pardon the photo, these are not your average sexy shots of the hottest wings in town. The insanity dry rub spice wings are guaranteed to churn your insides for a creamy finish in the morning. Definitely a ride to remember!!",2019-02-21 22:40:54
